question_code,indicator_label,category_code,category_label,direction,interpretation_note
feel_sad,Most days or every day sad or upset,emotional_wellbeing,Emotional wellbeing,higher_is_worse,Surveys where many pupils report feeling sad or upset most days or every day tend to show lower overall emotional wellbeing.
feel_lonely,Most days or every day lonely,emotional_wellbeing,Emotional wellbeing,higher_is_worse,Surveys where many pupils report feeling lonely most days or every day tend to show lower overall emotional wellbeing.
feel_confident,Never or rarely confident,emotional_wellbeing,Emotional wellbeing,higher_is_worse,Surveys where many pupils report never or rarely feeling confident tend to show lower overall emotional wellbeing.
feel_stressed,Most days or every day stressed or anxious,emotional_wellbeing,Emotional wellbeing,higher_is_worse,Surveys where many pupils report feeling stressed or anxious most days or every day tend to show lower overall emotional wellbeing.
feel_happy,Rarely or never happy,emotional_wellbeing,Emotional wellbeing,higher_is_worse,Surveys where many pupils report rarely or never feeling happy tend to show lower overall emotional wellbeing.
feel_angry,Most days or every day bad tempered or angry,emotional_wellbeing,Emotional wellbeing,higher_is_worse,Surveys where many pupils report feeling bad tempered or angry most days or every day tend to show lower overall emotional wellbeing.
friends_happiness,Unhappy or very unhappy with number of good friends,relationships,Relationships,higher_is_worse,Surveys where many pupils report being unhappy or very unhappy with their number of good friends tend to show lower overall relationship wellbeing.
bullying_frequency,Bullied every week or more often,relationships,Relationships,higher_is_worse,Surveys where many pupils report being bullied every week or more often tend to show lower overall relationship wellbeing.
school_belonging,Disagree or strongly disagree that they belong,school_connection,School connection,higher_is_worse,Surveys where many pupils report disagreeing or strongly disagreeing that they belong to their school or college community tend to show lower overall school connection.
school_helps_when_worried,Disagree or strongly disagree that school helps when worried,school_connection,School connection,higher_is_worse,Surveys where many pupils report disagreeing or strongly disagreeing that their school or college helps them when worried tend to show lower overall school connection.
school_enjoyment,Disagree or strongly disagree that they enjoy school,school_connection,School connection,higher_is_worse,Surveys where many pupils report disagreeing or strongly disagreeing that they enjoy going to school or college tend to show lower overall school connection.
school_welcoming,Disagree or strongly disagree that school is welcoming,school_connection,School connection,higher_is_worse,Surveys where many pupils report disagreeing or strongly disagreeing that their school or college is welcoming and caring tend to show lower overall school connection.
staff_relationship,Disagree or strongly disagree that they get on with staff,school_connection,School connection,higher_is_worse,Surveys where many pupils report disagreeing or strongly disagreeing that they get on well with staff tend to show lower overall school connection.
safety_toilets,Unsafe or very unsafe toilets,safety,Safety,higher_is_worse,Surveys where many pupils report feeling unsafe or very unsafe in school or college toilets tend to show lower overall safety.
safety_travel,Unsafe or very unsafe travelling to or from school,safety,Safety,higher_is_worse,Surveys where many pupils report feeling unsafe or very unsafe travelling to and from school or college tend to show lower overall safety.
safety_lessons,Unsafe or very unsafe during lessons,safety,Safety,higher_is_worse,Surveys where many pupils report feeling unsafe or very unsafe during lessons tend to show lower overall safety.
safety_outside_lessons,Unsafe or very unsafe outside lessons,safety,Safety,higher_is_worse,Surveys where many pupils report feeling unsafe or very unsafe at school or college outside lessons tend to show lower overall safety.
healthy_lifestyle_encouragement,Poor or very poor encouragement of healthy lifestyle,healthy_lifestyle,Healthy lifestyle,higher_is_worse,Surveys where many pupils report poor or very poor encouragement of a healthy lifestyle tend to show lower overall healthy lifestyle.
